"filename", "language", "PHP", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\flags\flags.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\ionic\ionicons.css", "CSS", 0, 0, 0, 1, 0, 3, 0, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\pe7\pe-icon-7.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\themify\themify.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\typicons\typicons.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\weather\weathericons.css", "CSS", 0, 0, 0, 1, 0, 18, 0, 19
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\ion-rangeslider\css\ion.rangeSlider.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\ion-rangeslider\js\custom-rangeslider.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\ion-rangeslider\js\ion.rangeSlider.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\lightbox\glightbox.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\lightbox\glightbox.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\lightbox\lightbox.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\material\materialdesignicons.css", "CSS", 0, 0, 0, 9614, 0, 7, 3745, 13366
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\moment\moment.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\morris\chart-data.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\morris\morris.min.js", "JavaScript", 0, 2, 0, 0, 0, 5, 0, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\morris\raphael-min.js", "JavaScript", 0, 3, 0, 0, 0, 8, 0, 11
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\owlcarousel\owl.carousel.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\owlcarousel\owl.carousel.min.js", "JavaScript", 0, 2, 0, 0, 0, 5, 0, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\owlcarousel\owl.theme.default.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\peity\chart-data.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 21
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\peity\jquery.peity.min.js", "JavaScript", 0, 1, 0, 0, 0, 6, 1, 8
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\raty\custom.raty.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 18
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\raty\jquery.raty.js", "JavaScript", 0, 56, 0, 0, 0, 9, 0, 65
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\scrollbar\custom-scroll.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\scrollbar\scroll.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\scrollbar\scrollbar.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\select2\css\select2.min.css", "CSS", 0, 0, 0, 1, 0, 0, 1, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\select2\js\custom-select.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
